발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,2018051118,5,야,금,1,1,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1139610.0,1686872.0,129.0330122,35.16743411
2018,2018061303,20,야,수,1,4,1,2,0,부산,부산진구,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,1142602.0,1684927.0,129.0655196,35.14948204
2018,2018090523,20,야,수,1,1,0,0,0,부산,금정구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로부근,승합차,승합차,보행자,보행자,1144769.0,1693779.0,129.0908561,35.22896144
2018,2018031901,40,야,월,1,1,0,0,0,부산,금정구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승합차,승합차,보행자,보행자,1144442.0,1693037.0,129.0871337,35.22232049
2018,2018030302,15,야,토,1,5,2,2,0,부산,금정구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1146294.0,1695683.0,129.1079472,35.24590182
2018,2018043009,35,주,월,1,1,0,0,0,부산,사상구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,보행자,보행자,1136635.0,1684650.0,128.999987,35.14781373
2018,2018073010,18,주,월,1,1,0,0,0,부산,기장군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,이륜차,없음,없음,1158379.1,1703790.4,129.2422893,35.31713516
2018,2018120609,46,주,목,1,1,0,0,0,부산,기장군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,1156195.0,1695130.0,129.2166239,35.23942306
2018,2018110209,29,주,금,1,2,1,0,0,울산,울주군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1158934.0,1725148.0,129.2525551,35.50953467
2018,2018052820,25,야,월,1,1,0,0,0,경기,수원시,차대차,기타,기타,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,승용차,승용차,956257.0,1920436.0,127.0065479,37.28182536
2018,2018051905,50,야,토,1,1,0,0,0,경기,수원시,차대차,기타,기타,운전자법규위반,기타(운전자법규위반),기타,기타,승용차,승용차,승용차,승용차,956468.0,1920706.0,127.0089122,37.28426895
